Year,Income
1800,985
1810,985
1820,985
1830,986
1840,986
1850,985
1860,1023
1870,1099
1880,1015
1890,918
1900,894
1910,991
1920,1012
1930,1055
1940,841
1950,535
1951,582
1952,631
1953,692
1954,694
1955,706
1956,736
1957,780
1958,889
1959,958
1960,889
1961,558
1962,567
1963,635
1964,713
1965,772
1966,826
1967,719
1968,669
1969,732
1970,848
1971,876
1972,843
1973,894
1974,888
1975,920
1976,891
1977,904
1978,1016
1979,1059
1980,1073
1981,1099
1982,1175
1983,1229
1984,1456
1985,1557
1986,1604
1987,1652
1988,1597
1989,1474
1990,1516
1991,1634
1992,1845
1993,2078
1994,2323
1995,2551
1996,2775
1997,3000
1998,3205
1999,3419
2000,3678
2001,3955
2002,4285
2003,4685
2004,5127
2005,5675
2006,6360
2007,7225
2008,7880
2009,8565
2010,9430
2011,10274
2012,11017
2013,11805
2014,12609
2015,13334
